Blažena	19
Blaženka	224
Blažka	387
Bleona	15
Blerina	21
Blerta	36
Blinera	6
Bogdana	319
Bogdanka	25
Bogica	5
Bogomila	148
Bogomila Marija	5
Bogomira	194
Bogomira Marija	..
Bogumila	5
Boja	46
Bojana	2866
Bojanca	12
Bojanka	81
Bojka	15
Boni	10
Bora	18
Borica	8
Borislava	69
Borislavka	20
Borjana	13
Borka	216
Bosa	43
Bosiljka	215
Boška	5
Boštjana	5
Boža	481
Božana	140
Božanka	6
Božena	651
Božena Marija	12
Božena Natalija	..
Boženka	47
Božica	435
Božidara	168
Božidara Marija	..
Božidarka	20
Božislava	53
Brana	16
Branimira	35
Branislava	148
Branislavka	14
Branka	3327
Branka Marija	..
Brankica	169
Breda	2248
Breda Frančiška	5
Breda Marija	40
Bredica	10
Briana	10
Brigita	3986
Brigita Marija	9
Brigitta	13
Brigitte	18
Brina	1426
Brita	10
Bronislava	200
Bronja	29
Bronka	13
Bruna	208
Bruna Marija	6
Brunislava	5
Bukurije	51
Burbuqe	6
Carina	5
Carka	6
Carla	5
Carmela	5
Carmen	131
Carolina	21
Caroline	..
Cataleya	6
Caterina	12
Catherine	..
Cecilija	1696
Cecilija Marija	10
Celestina	47
Cenka	5
Chanel	6
Chantal	8
Charlotte	8
Chiara	58
Christina	13
Christine	9
Cica	7
Cicilija	8
Cilika	10
Cilka	150
Cindy	13
Cintia	5
Cirila	628
Cirila Marija	..
Cirila Metoda	6
Cirilka	5
Cita	79
Clara	23
Clarissa	..
Claudia	136
Claudija	5
Clavdia	..
Clea	9
Corina	10
Cornelia	8
Cristina	30
Cveta	123
Cvetana	31
Cvetanka	10
Cvetka	3720
Cvetka Florijana	6
Cvetka Florjana	6
Cvetka Marija	12
Cvetka Terezija	33
Cvetoslava	5
Cvija	38
Cvijeta	137
Cvita	7
Cvjeta	6
Cynthia	7
Čarna	25
Ćama	5
Ćamila	11
Ćamka	9
Ćatiba	6
Ćerima	9
Dada	7
Dafina	33
Dafinka	9
Dagmar	81
Daja	12
Dajana	257
Dali	7
Dalia	43
Daliborka	166
Dalida	20
Dalija	45
Dalila	58
Dalja	13
Damaris	7
Damijana	490
Damira	36
Damjana	1498
Damjanca	14
Damjanka	5
Dana	134
Danaja	220
Danche	8
Daneja	7
Dani	7
Danica	5780
Danica Ana	..
Danica Marija	7
Daniela	924
Danijela	2887
Danijela Ana	5
Danijela Marija	12
Danila	256
Danira	5
Danja	9
Danjela	142
Danka	55
Danuša	9
Danuška	10
Dara	53
Daria	49
Darica	13
Darija	647
Darina	19
Darinka	4483
Darinka Marija	27
Darinka Martina	..
Darja	6161
Darja Marija	12
Darjana	7
Darka	212
Darma	5
Darya	6
Dashurije	15
Daša	1021
Dašenka	6
Daška	6
Dašurije	..
Davida	5
Davorina	84
Davorka	86
Dea	103
Deana	31
Debora	74
Deborah	32
Deja	166
Dejana	110
Deklica	..
Delfa	9
Delfina	17
Delija	7
Delila	14
Delja	..
Demetra	8
Demi	17
Denis	66
Denisa	122
Denise	46
Derva	6
Derviša	46
Derviše	8
Desa	63
Desanka	201
Desimirka	5
Desire	17
Desiree	20
Despina	9
Deša	7
Deva	11
Devana	5
Devla	12
Devleta	16
Dezire	6
Dhurata	..
Diana	793
Dida	8
Diellza	14
Dijana	828
Dika	19
Dilara	10
Dilva	8
Dimitra	5
Dina	149
Dinela	6
Dinka	33
Diomira	5
Diona	12
Dita	27
Ditka	25
Divna	69
Djana	5
Djellza	16
Djemila	17
Djenita	..
Djuja	10
Djuka	17
Djula	16
Djurdja	13
Djurdjica	33
Djurdjija	15
Dobrica	13
Dobrila	110
Dobrina	5
Dobrinka	37
Dobruška	5
Dolores	516
Doma	11
Domenika	6
Dominika	321
Dona	33
Donata	16
Donatella	9
Donika	12
Donjeta	23
Donka	7
Donna	16
Dora	455
Dora Marija	5
Dorentina	14
Dori	5
Doriana	8
Dorica	133
Dorijana	12
Dorina	44
