Borjan	13
Borko	74
Borna	28
Boro	235
Borut	4240
Boshko	8
Bosiljko	8
Boško	267
Boštijan	9
Boštjan	9714
Bozhidar	5
Božan	5
Božidar	1565
Božidar Andrej	-
Božidar Darko	-
Božidar Jožef	-
Božin	-
Božislav	5
Božo	666
Braco	36
Brahim	26
Braim	6
Brajan	5
Brane	186
Branimir	490
Branislav	694
Branivoj	12
Branivoje	-
Branko	10320
Branko Franc	28
Branko Frančišek	6
Branko Jožef	-
Brano	15
Bratislav	75
Bratko	5
Brendon	12
Brian	9
Brin	436
Bron	6
Bronislav	15
Bruno	763
Budimir	43
Bujamin	8
Bujar	64
Burhan	12
Burim	84
Butrint	-
Cane	11
Carlo	16
Carlos	11
Carlos Alberto	-
Carmelo	-
Celestin	17
Cene	129
Chris	46
Christian	122
Christoph	-
Christopher	13
Ciril	1658
Ciril Janez	-
Ciril Metod	17
Claudio	63
Clirim	20
Colin	6
Corrado	10
Cris	7
Cristian	35
Cristiano	6
Csaba	7
Cvetan	13
Cvetko	635
Cveto	106
Cvijan	19
Cvijetin	52
Cvijo	9
Cviko	11
Cvitko	-
Cvjetko	32
Čaba	-
Čamil	5
Čarli	8
Časlav	22
Čazim	8
Čedo	134
Čedomil	5
Čedomir	112
Črt	456
Črtomir	210
Dado	18
Dag	-
Dagmar	5
Dajan	7
Dajlan	11
Dako	10
Dali	7
Dalibor	853
Dalimir	-
Dalip	12
Dalmir	5
Dame	7
Damian	25
Damiano	5
Damijan	1731
Damir	1848
Damjan	4295
Dan	168
Danaj	10
Dane	167
Danej	24
Dani	188
Daniel	1649
Daniele	16
Daniil	25
Danijel	3651
Danil	7
Danilo	2375
Danimir	15
Danin	11
Danis	29
Danislav	7
Danjel	125
Danko	77
Dano	5
Dante	29
Dany	5
Danylo	8
Dardan	35
Dare	23
Darian	26
Darij	122
Darijan	131
Darijo	127
Darin	21
Darinko	41
Darino	5
Dario	444
Daris	167
Darjan	374
Darjo	239
Darko	6096
Darmin	5
Daroslav	6
Darvin	8
Dashmir	9
Dashnor	11
Dašmir	5
Dašo	6
Daut	24
David	8714
David Aleksander	5
David John	-
David Peter	5
Davide	25
Davor	1255
Davorin	1391
Davorin Martin	-
Davud	117
Dean	636
Dedo	17
Deen	11
Defrim	14
Dejan	8229
Dejančo	-
Dejvi	12
Dejvid	59
Dejvis	5
Delčo	-
Demeter	-
Demetrij	15
Demian	10
Demijan	-
Demir	102
Demirali	-
Demirel	10
Demis	9
Demiš	-
Demitrij	12
Demuš	5
Den	16
Deni	137
Denial	28
Denijal	10
Denis	5135
Deniz	7
Dennis	31
Deny	5
Denys	14
Dervish	6
Derviš	67
Dervo	5
Desimir	42
Destan	9
Devan	6
Devid	11
Devin	6
Devis	9
Dezider	29
Deziderij	18
Deyan	22
Deyancho	13
Diamant	9
Dian	20
Diar	46
Diart	8
Dibran	16
Diego	72
Dieter	8
Dijamant	5
Dijar	18
Dijego	7
Dijon	6
Diko	5
Dilan	7
Dilaver	8
Dimche	17
Dimče	8
Dimčo	-
Dime	9
Dimitar	59
Dimitri	16
Dimitrij	321
Dimitrija	16
Dimitrije	68
Din	203
Dine	-
Dinko	54
Dino	495
Dion	47
Dionis	10
Dionizij	9
Djafer	7
Djego	-
Djelal	5
Djemal	9
Djengis	5
Djerdj	-
Djevad	17
Djevat	7
Djevdet	-
Djoka	6
Djoko	11
Djordje	67
Djordjo	38
Djura	8
Djuradj	22
Djuro	64
Dmitar	14
Dmitri	7
Dmitrii	23
Dmitrij	7
Dmitriy	6
Dmitry	47
Dmytro	24
Dobran	6
Dobre	21
Dobri	7
Dobrica	15
Dobrinko	10
Dobrivoj	15
Dobrivoje	50
Dobromir	5
Dobrosav	14
Dobroslav	-
Dojčin	9
Dolfe	-
Domagoj	25
Domen	3778
Domenico	10
Domenik	7
Domin	12
Dominic	9
Dominik	1753
Dominko	12
Don	21
Donald	17
Donart	14
Donat	9
Donato	5
Doncho	-
Done	5
Donovan	7
Dore	6
Dorian	133
Dorijan	51
Dorjan	50
Dorjano	8
Dorko	5
Dorotej	23
Dositej	5
Dragan	2783
Dragancho	6
Dragančo	-
Drage	9
Dragec	7
Dragi	63
Dragislav	6
Dragiša	154
Dragić	17
Drago	5526
Drago Franc	5
Drago Karel	5
Drago Karl	6
Dragoja	21
Dragoje	9
Dragoljub	222
Dragomil	15
Dragomir	356
Dragorad	5
Dragoslav	223
Dragoš	8
Dragotin	162
Dragovan	-
Dragutin	575
Draško	66
Dražan	15
Draže	-
Dražen	308
Draženko	75
Drejc	145
Dren	17
Drilon	30
Drin	8
Dritan	5
Driton	83
Dubravko	57
Duilij	-
Duje	6
Dule	5
Dumitru	-
Durak	-
Durim	32
Dursum	27
Dushan	10
Dushko	16
Dušan	7754
Dušan Anton	-
Dušan Franc	10
Dušan Janez	-
Dušan Stanislav	-
Duško	536
Džabir	-
Džafer	29
Džan	37
Džanan	13
Džavid	9
Džavit	5
Džejlan	14
Dželadin	-
Dželal	11
